Precision,Alpha,P4 iter,GSS iter,ref iter,P4 time,GSS time,ref time,P4 residual cong,GSS residual cong,ref residual cong
1.024,0.5,2,2,411,154600,95700.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
0.512,0.5,2,2,411,152100,128200.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
0.256,0.5,2,2,411,149300,94600.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
0.128,0.5,2,2,411,146200,94000.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
0.064,0.5,2,2,411,156300,161700.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
0.032,0.5,2,2,411,165200,96700.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
0.016,0.5,2,2,411,143300,94900.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
0.008,0.5,2,2,411,155800,136000.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
0.004,0.5,2,2,411,232000,127600.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
0.002,0.5,2,2,411,417800,151800.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
0.001,0.5,2,2,411,317800,107100.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
5.0E-4,0.5,2,2,411,226400,281000.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
2.5E-4,0.5,2,2,411,171100,100500.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
1.25E-4,0.5,2,2,411,304300,116900.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
6.25E-5,0.5,2,2,411,285600,122300.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
3.125E-5,0.5,2,2,411,175600,132900.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
1.5625E-5,0.5,2,2,411,176800,96300.0,5308000,0.9567191487733311,0.9588240124710015,0.9965752646317311
1.024,1.0128205128205128,844,799,7928,36744600,3.67916E7,122950200,6.234311487415267E-4,6.217620088366793E-4,6.230991879194736E-4
0.512,1.0128205128205128,844,799,7928,37526300,3.39313E7,122950200,6.234311487415267E-4,6.217620088366793E-4,6.230991879194736E-4
0.256,1.0128205128205128,844,799,7928,35954800,3.60128E7,122950200,6.234311487415267E-4,6.217620088366793E-4,6.230991879194736E-4
0.128,1.0128205128205128,844,799,7928,41906200,3.44546E7,122950200,6.234311487415267E-4,6.217620088366793E-4,6.230991879194736E-4
0.064,1.0128205128205128,847,799,7928,36721900,3.41138E7,122950200,6.222249153504666E-4,6.217620088366793E-4,6.230991879194736E-4
0.032,1.0128205128205128,799,799,7928,36028000,3.48675E7,122950200,6.233216964623978E-4,6.217620088366793E-4,6.230991879194736E-4
0.016,1.0128205128205128,799,799,7928,37672800,3.41764E7,122950200,6.233216964623978E-4,6.217620088366793E-4,6.230991879194736E-4
0.008,1.0128205128205128,825,799,7928,37216100,3.37364E7,122950200,6.221779838475605E-4,6.217620088366793E-4,6.230991879194736E-4
0.004,1.0128205128205128,818,799,7928,35846600,3.77881E7,122950200,6.234579518678007E-4,6.217620088366793E-4,6.230991879194736E-4
0.002,1.0128205128205128,841,799,7928,39006900,3.43909E7,122950200,6.230378052790586E-4,6.217620088366793E-4,6.230991879194736E-4
0.001,1.0128205128205128,848,799,7928,39683700,3.63739E7,122950200,6.236677008840674E-4,6.217620088366793E-4,6.230991879194736E-4
5.0E-4,1.0128205128205128,852,799,7928,37386800,3.69192E7,122950200,6.232733868457574E-4,6.217620088366793E-4,6.230991879194736E-4
2.5E-4,1.0128205128205128,853,803,7928,37572300,3.85373E7,122950200,6.226380158886879E-4,6.222282829930759E-4,6.230991879194736E-4
1.25E-4,1.0128205128205128,855,803,7928,37656500,3.46006E7,122950200,6.231090762969238E-4,6.222282829930759E-4,6.230991879194736E-4
6.25E-5,1.0128205128205128,978,804,7928,45672900,3.66306E7,122950200,6.233587122266293E-4,6.233526911371134E-4,6.230991879194736E-4
3.125E-5,1.0128205128205128,715,804,7928,34532400,3.55382E7,122950200,6.230990753099963E-4,6.233526911371134E-4,6.230991879194736E-4
1.5625E-5,1.0128205128205128,717,804,7928,32944600,3.76813E7,122950200,6.220746926647314E-4,6.236072856447006E-4,6.230991879194736E-4
1.024,1.5256410256410255,499,475,7630,23267000,2.09162E7,109917100,3.0775509337299667E-4,3.072433730908486E-4,3.0794385247778777E-4
0.512,1.5256410256410255,499,475,7630,23906900,2.18057E7,109917100,3.0775509337299667E-4,3.072433730908486E-4,3.0794385247778777E-4
0.256,1.5256410256410255,695,475,7630,34001400,2.24745E7,109917100,3.079218765865699E-4,3.072433730908486E-4,3.0794385247778777E-4
0.128,1.5256410256410255,680,686,7630,30106100,3.13321E7,109917100,3.0763522529098086E-4,3.0788070408760415E-4,3.0794385247778777E-4
0.064,1.5256410256410255,680,686,7630,31532200,3.1927E7,109917100,3.0763522529098086E-4,3.0788070408760415E-4,3.0794385247778777E-4
0.032,1.5256410256410255,611,686,7630,28494600,2.94018E7,109917100,3.076059238545925E-4,3.0788070408760415E-4,3.0794385247778777E-4
0.016,1.5256410256410255,704,686,7630,32469900,3.17144E7,109917100,3.0790278127024173E-4,3.0788070408760415E-4,3.0794385247778777E-4
0.008,1.5256410256410255,734,686,7630,35704600,3.0886E7,109917100,3.0753979181097346E-4,3.0788070408760415E-4,3.0794385247778777E-4
0.004,1.5256410256410255,734,686,7630,33064400,3.006E7,109917100,3.0753979181097346E-4,3.0788070408760415E-4,3.0794385247778777E-4
0.002,1.5256410256410255,743,699,7630,32681800,3.28256E7,109917100,3.077226168002323E-4,3.077560420629011E-4,3.0794385247778777E-4
0.001,1.5256410256410255,744,699,7630,33577300,3.64102E7,109917100,3.0775582616915376E-4,3.077560420629011E-4,3.0794385247778777E-4
5.0E-4,1.5256410256410255,741,699,7630,40940500,3.43424E7,109917100,3.075861647033884E-4,3.077560420629011E-4,3.0794385247778777E-4
