Precision,Alpha,P4 iter,GSS iter,ref iter,P4 time,GSS time,ref time,P4 residual cong,GSS residual cong,ref residual cong
1.024,0.5,3,3,174,858600,723300.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
0.512,0.5,3,3,174,809600,751500.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
0.256,0.5,3,3,174,790700,690100.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
0.128,0.5,3,3,174,841700,774900.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
0.064,0.5,3,3,174,822200,691600.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
0.032,0.5,3,3,174,761100,723900.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
0.016,0.5,3,3,174,891100,716700.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
0.008,0.5,3,3,174,773800,681200.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
0.004,0.5,3,3,174,761100,818500.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
0.002,0.5,3,3,174,838600,740900.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
0.001,0.5,3,3,174,780100,676700.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
5.0E-4,0.5,3,3,174,774700,775700.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
2.5E-4,0.5,3,3,174,888800,699000.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
1.25E-4,0.5,3,3,174,747300,694300.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
6.25E-5,0.5,3,3,174,780000,737300.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
3.125E-5,0.5,3,3,174,993300,831200.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
1.5625E-5,0.5,3,3,174,910600,695500.0,14865700,0.8958053581580193,0.9084978054911143,0.9937151201602207
1.024,1.0128205128205128,807,722,4687,203323600,1.817308E8,390601100,0.00158918902219074,0.0015888153268606153,0.0015981189407362484
0.512,1.0128205128205128,807,722,4687,203126800,1.835284E8,390601100,0.00158918902219074,0.0015888153268606153,0.0015981189407362484
0.256,1.0128205128205128,555,722,4687,141043500,1.798316E8,390601100,0.001594499570305219,0.0015888153268606153,0.0015981189407362484
0.128,1.0128205128205128,585,643,4687,143446200,1.605903E8,390601100,0.0015893615931694693,0.0015932437345838046,0.0015981189407362484
0.064,1.0128205128205128,585,643,4687,145256600,1.615174E8,390601100,0.0015893615931694693,0.0015932437345838046,0.0015981189407362484
0.032,1.0128205128205128,585,643,4687,148154600,1.647638E8,390601100,0.0015893615931694693,0.0015932437345838046,0.0015981189407362484
0.016,1.0128205128205128,841,643,4687,209754900,1.639506E8,390601100,0.001589568285417009,0.0015932437345838046,0.0015981189407362484
0.008,1.0128205128205128,805,723,4687,206260600,1.840511E8,390601100,0.001589629077573429,0.0015886881263366126,0.0015981189407362484
0.004,1.0128205128205128,825,723,4687,209942500,1.83165E8,390601100,0.0015910334991010577,0.0015886881263366126,0.0015981189407362484
